la-maintained-school-eng	school-type	foundation-trust	school-federation
101430	1		
101431	1		
101432	1		
101433	1		
101434	1		
101435	1		
101436	1		
101437	1		
101438	1		
101439	1		
101440	1		
101441	1		
101442	1		
101443	1		
101444	1		
101445	1		
101446	1		
101447	1		
101448	1		
101449	1		
101450	1		
101451	3		
101452	3		
101453	2		
101454	2		
101455	2		
101456	2		
101457	2		
101458	2		
101459	2		
101460	2		
101461	2		
101462	5		
101463	1		
101464	1		
101465	1		
101466	1		
101467	5		
101468	5		
101469	1		
101470	5	The Academies Enterprise Trust	
101471	1		
101472	2		
101473	5		
101474	5		
101475	2		
101476	2		
101477	2		
101478	2		
101479	5		
101480	5		
101485	7		
101486	7		
101487	7		
101488	7		New Horizons Federation
101489	15		The Federation of Curzon Crescent and Fawood Children's Centres
101490	15		The Federation of Curzon Crescent and Fawood Children's Centres
101491	15		
101492	15		
101493	14		
101494	1		
101495	1		
101496	1		
101497	1		
101498	1		
101499	1		
101500	1		
101501	1		
101502	1		
101503	1		
101504	1		
101505	1		
101506	1		
101507	1		
101508	1		
101509	1		
101510	1		
101511	1		
101512	1		
101513	1		
101514	1		
101515	1		
101516	1		
101517	1		
101518	1		
101519	1		
101520	1		
101521	1		
101522	1		
101523	1		
101524	1		
101525	5		
101526	1		
101527	1		
101528	1		
101529	1		
101530	1		
101531	1		
101532	1		
101533	2		
101534	2		
101535	2		
101536	2		
101537	2		
101538	2		
101539	2		The Federation of St Joseph's Juniors, Infant and Nursery School
101540	2		
101541	2		
101542	2		
101543	2		
101544	2		
101545	2		
101546	2		The Federation of St Joseph's Juniors, Infant and Nursery School
101547	2		
101548	2		
101549	2		
101550	5		
101551	1		
101552	5		
101553	2		
101554	5		
101555	2		
101556	5		
101557	5		
101558	5	The Copland Learning Partnership Trust	
101559	5		
101560	5		
101561	2		
101562	5		
101563	2		
101564	2		
101565	5		
101566	5		
101567	5		
101574	2		
101579	7		
101580	7		
101581	7		
101582	7		
101583	7		
101584	14		
101585	1		
101586	1		
101587	1		
101588	1		
101589	1		
101590	1		
101591	1		
101592	1		
101593	1		
101594	1		
101595	1		
101596	1		
101597	1		
101598	1		
101599	1		
101600	1		
101601	1		
101602	1		
101603	5		
101604	1		
101605	1		
101606	1		
101607	1		
101608	1		
101609	1		
101610	1		
101611	1		
101612	1		
101613	1		
101614	1		
101615	1		
101616	1		
101617	1		
101618	1		
101619	1		
101620	1		
101621	1		
101622	1		
101623	1		
101624	1		
101625	1		
101626	1		
101627	1		
101628	1		
101629	1		
101630	1		
101631	5		
101632	1		
101633	5		
101634	5		
101635	1		
101636	1		
101637	1		
101638	1		
101639	1		
101640	1		
101641	1		
101642	5		
101643	3		
101644	3		
101645	3		
101646	3		
101647	3		
101648	2		
101649	2		
101650	2		
101651	2		
101652	2		
101653	2		
101654	2		
101655	2		
101656	2		
101657	5		
101658	5		
101659	5		
101660	5		
101661	2		
101662	2		
101663	5		
101664	5		
101665	5		
101666	5		
101667	5		
101668	5		
101669	5		
101670	5		
101671	5		
101672	5		
101673	5		
101674	5		
101675	5		
101676	2		
101677	2		
101678	5		
101679	5		
101697	12		
101698	7		
101699	7		
101700	12		
101701	7		
101702	15		Federation of Crosfield and Selhurst Nursery Schools and Children's Centres
101703	15		
101704	15		
101705	15		
101706	14		
101707	14		
101708	14		
101709	1		
101710	1		
101711	1		
101712	1		
101713	1		
101714	1		
101715	1		
101716	1		
101717	1		
101718	1		
101719	1		
101720	1		
101721	1		
101722	1		
101723	1		
101724	1		
101725	1		
101726	1		
101727	1		
101728	1		
101729	1		
101730	1		
101731	1		
