location	point
school:100320	[51.47510,-0.21987]
school:100321	[51.49982,-0.21921]
school:100322	[51.49490,-0.20936]
school:100323	[51.51532,-0.23231]
school:100324	[51.49990,-0.23283]
school:100325	[51.51184,-0.22981]
school:100326	[51.50411,-0.22884]
school:100327	[51.50654,-0.23488]
school:100328	[51.49483,-0.23548]
school:100329	[51.48354,-0.19798]
school:100330	[51.47209,-0.20544]
school:100331	[51.53171,-0.23534]
school:100332	[51.47270,-0.18886]
school:100333	[51.49894,-0.22486]
school:100334	[51.48618,-0.22116]
school:100335	[51.51802,-0.24384]
school:100336	[51.47113,-0.19566]
school:100337	[51.47984,-0.22177]
school:100338	[51.48307,-0.20963]
school:100339	[51.47065,-0.19948]
school:100340	[51.50333,-0.24897]
school:100341	[51.51167,-0.23875]
school:100342	[51.48507,-0.20405]
school:100343	[51.50367,-0.23744]
school:100344	[51.47286,-0.21362]
school:100345	[51.47591,-0.19898]
school:100346	[51.49682,-0.23572]
school:100347	[51.48428,-0.20962]
school:100348	[51.49385,-0.21685]
school:100349	[51.47705,-0.20912]
school:100350	[51.49890,-0.21599]
school:100351	[51.49064,-0.22720]
school:100352	[51.49216,-0.24013]
school:100353	[51.50554,-0.22763]
school:100354	[51.50264,-0.24526]
school:100355	[51.51222,-0.23270]
school:100356	[51.49243,-0.21797]
school:100357	[51.48135,-0.20733]
school:100358	[51.47778,-0.21523]
school:100359	[51.51309,-0.23784]
school:100360	[51.48136,-0.21417]
school:100361	[51.46782,-0.19652]
school:100362	[51.51895,-0.22972]
school:100363	[51.49358,-0.22335]
school:100364	[51.47419,-0.19964]
school:100365	[51.48192,-0.19384]
school:100366	[51.49514,-0.21886]
school:100367	[51.41549,-0.37849]
school:100368	[51.49582,-0.22181]
school:100369	[51.49533,-0.22996]
school:100370	[51.49303,-0.23746]
school:100371	[51.49587,-0.21785]
school:100372	[51.47631,-0.20162]
school:100373	[51.49410,-0.23845]
school:100374	[51.47775,-0.21071]
school:100375	[51.47207,-0.19103]
school:100376	[51.49272,-0.23601]
school:100377	[51.48196,-0.19811]
school:100378	[51.50707,-0.24261]
school:100379	[51.51681,-0.23131]
school:100380	[51.39489,-0.65309]
school:100381	[51.50939,-0.23356]
school:100382	[51.51168,-0.23650]
school:100383	[51.48960,-0.20314]
school:100384	[51.57205,-0.12578]
school:100385	[51.53631,-0.12067]
school:100386	[51.56657,-0.11339]
school:100387	[51.56561,-0.13188]
school:100388	[51.52314,-0.09601]
school:100389	[51.54170,-0.09090]
school:100390	[51.54084,-0.10993]
school:100391	[51.54677,-0.11125]
school:100392	[51.54475,-0.12175]
school:100393	[51.54208,-0.10127]
school:100394	[51.56121,-0.13041]
school:100395	[51.54787,-0.11336]
school:100396	[51.55076,-0.11350]
school:100397	[51.56255,-0.10174]
school:100398	[51.54494,-0.10056]
school:100399	[51.54494,-0.10056]
school:100400	[51.53895,-0.09540]
school:100401	[51.53564,-0.11864]
school:100402	[51.55155,-0.10573]
school:100403	[51.56692,-0.12366]
school:100404	[51.54170,-0.09090]
school:100405	[51.56001,-0.10006]
school:100406	[51.55910,-0.11912]
school:100407	[51.53294,-0.09859]
school:100408	[51.56428,-0.14008]
school:100409	[51.52703,-0.10723]
school:100410	[49.76681,-7.55716]
school:100411	[51.54453,-0.10455]
school:100412	[51.56117,-0.11473]
school:100413	[51.56117,-0.11473]
school:100414	[51.52428,-0.08970]
school:100415	[51.52840,-0.09936]
school:100416	[51.55137,-0.08341]
school:100417	[51.55137,-0.08341]
school:100418	[51.55880,-0.11402]
school:100419	[51.53466,-0.10818]
school:100420	[51.56492,-0.11233]
