school-eng	name	address	minimum-age	maximum-age	school-capacity	headteacher	school-type	start-date	end-date
117265	Oughtonhead Infants' School	200001853411	3	7		Mrs D Hallett	Local authority maintained		2001-09-01
117266	Maple Cross Junior Mixed Infant and Nursery School	200000938744	4	11	240	Mr Duncan Roberts	Local authority maintained		
117267	Killigrew Infant and Nursery School	200003641146	3	7	180	Miss Tracy Mylotte	Local authority maintained		2008-08-31
117268	Wheatfields Infants' and Nursery School	10024115424	3	7	270	Mrs Jane Whitehurst	Local authority maintained		
117269	Moss Bury Primary School and Nursery	10070251580	3	11	374	Mr Gareth Linwood	Local authority maintained		
117270	Westfield Community Primary School	148025559	5	11	210	Mrs Diane Ashmore	Local authority maintained		
117271	Priors Wood Primary School	100081248841	3	11	210	Mrs Rebecca Collins	Local authority maintained		
117272	Brookland Infant and Nursery School	148040234	3	7	270	Mrs Alison Atkinson	Local authority maintained		
117273	Summercroft Infant and Nursery School	10033098046	3	7	180	Miss C Evans	Local authority maintained		2005-12-31
117274	Goldfield Infants' and Nursery School	200004057990	3	7	240	Mrs Debbie Stevens	Local authority maintained		
117275	Tower Primary School	10033099651	2	11	180	Mrs Joanne Lyness	Local authority maintained		
117276	Greenway Primary and Nursery School	100081184208	3	11	385	Mrs Katharine Ellwood	Local authority maintained		
117277	Thorn Grove Primary School	100081160240	3	11	240	Mr Pete Luck	Local authority maintained		
117278	Icknield Walk First School	100081260003	3	9	360	Mrs Jane Sherwood	Local authority maintained		
117279	Cunningham Hill Infant School	10024117568	5	7	180	Mrs Charlotte Cooper	Local authority maintained		
117280	Reedings Junior School	10033099136	7	11	240	Mrs Laura Webber	Local authority maintained		
117281	The Grove Infant and Nursery School	100081155075	3	7	270	Ms Anna Archer	Local authority maintained		
117282	The Hammond Primary School	200004057839	5	11	210	Ms Gail Porterfield	Local authority maintained		2011-07-31
117283	Kings Langley Primary School	200004058046	3	11	420	Mrs Paula Harris	Local authority maintained		
117284	Forres Primary School	148031977	5	11	345	Mrs Susan Camp	Local authority maintained		
117285	Martins Wood Primary School	100081248109	2	11	720	Mr Tom Evans	Local authority maintained		
