address	parent-address	primary-address	street	name	name-cy	point	end-date
14BDH0			23603668	BROADGREEN COMMUNITY COMPREHENSIVE SCHOOL		[53.4112551,-2.9030157]	2010-10-04
14BDH7			23602012	LISTER DRIVE COUNTY JUNIOR SCHOOL		[53.423439,-2.9262998]	2010-10-04
14BDPN			23603669	CHILDWALL SPORTS COLLEGE		[53.3987555,-2.8989159]	
14BDX6			23603670	LIVERPOOL COLLEGE PREPARATORY SCHOOL		[53.381711,-2.9250765]	
14BEWV			23603710	RANWORTH SQUARE PRIMARY SCHOOL		[53.4514412,-2.9268619]	
14BJ5B			23603803	ST AUSTINS CATHOLIC PRIMARY SCHOOL		[53.3627549,-2.9108257]	
14BN6B			23603895	RUDSTON JUNIOR SCHOOL		[53.4001839,-2.8910916]	
14BQM8	14H5NM		23603974	ST OSWALDS INFANT SCHOOL		[53.4123963,-2.9137215]	2016-01-11
14BRFK			23604001	SANDFIELD PARK SCHOOL		[53.4222294,-2.9079131]	
14BRY2			23604014	ST ANTHONY OF PADUA CATHOLIC PRIMARY SCHOOL		[53.3822726,-2.9186992]	
14BW0Q			23604078	PRINCES SPECIAL SCHOOL		[53.3969141,-2.9566729]	2010-10-04
14BX0D			23604123	FAZAKERLEY HIGH SCHOOL		[53.4706325,-2.9256529]	
14BZ9Q			23604194	OUR LADY OF GOOD HELP R C PRIMARY SCHOOL		[53.3999391,-2.9172303]	2010-10-04
14BZDK			23604199	57 ST FINBARS R C PRIMARY SCHOOL		[53.3805082,-2.9612962]	2010-10-04
14BZR5			23604205	ST PAULS AND ST TIMOTHYS R C INFANTS SCHOOL		[53.4303195,-2.9022105]	2010-10-04
14C00W			23604213	GILMOUR INFANT SCHOOL		[53.3623774,-2.904912]	
14C0KR			23604232	OUR LADY AND ST PHILOMENAS R C PRIMARY SCHOOL		[53.4541128,-2.9266038]	2010-10-04
14C0VS			23604240	ST JULIES R C HIGH SCHOOL		[53.3723857,-2.8655938]	2010-10-04
14C0ZC			23604247	EVERTON CHILD AND FAMILY CENTRE		[53.4178615,-2.9640795]	2013-01-31
