academy-school-eng	school-type	academy-trust	school-trust-join-date	academy-sponsor
140377	28	company:06864339	2014-01-04	Greenwood Academies Trust
140378	28	company:07827368	2015-01-09	The Central Learning Partnership Trust
140379	28	company:08452281	2015-01-09	REAch2
140380	28	company:08452281	2015-01-09	REAch2
140381	28	company:08452281	2015-01-09	REAch2
140383	43	company:08414933	2014-01-04	Advance Trust
140384	28	company:08289583	2015-01-09	Lilac Sky Academy Trust
140385	28	company:08289583	2015-01-09	Lilac Sky Academy Trust
140386	28	company:08062508	2014-01-01	The Diamond Learning Partnership Trust
140387	28	company:08116706	2014-01-09	The Elliot Foundation Academies Trust
140388	33	company:08131158	2015-01-09	New Bridge Academy
140389	28	company:06672920	2014-01-01	Sidney Stringer Academy Trust
140391	28	company:08146330	2014-01-09	The Park Federation Academy Trust
140392	28	company:07904096	2014-01-02	Wakefield Diocesan Academies Trust
140393	28	company:08289583	2015-01-09	Lilac Sky Academy Trust
140394	28	company:05398529	2015-01-09	Oasis Community Learning
140395	28	company:06228587		Harris Federation
140396	28	company:07984238	2015-01-09	The Learning Pathways Trust
140397	33	company:08414933	2014-01-01	Advance Trust
140398	28	company:08076374	2014-01-01	The Flying High Trust
140399	28	company:05037949	2014-01-04	Leaf Trust
140400	28	company:04439859	2014-01-01	United Learning
140401	28			
140402	28	company:08452281	2015-01-09	REAch2
140403	28	company:07462885	2015-01-08	Wakefield City Academies Trust
140404	33	company:08414933	2014-01-01	Advance Trust
140405	28	company:08171341	2014-01-01	Lion Academy Trust
140406	28	company:08144578	2014-01-01	Bright Tribe Trust
140407	28	company:07543874	2014-01-01	Kennet School
140408	28	company:08168307	2014-01-01	The Collaborative Academies Trust
140409	28	company:05398529	2014-01-01	Oasis Community Learning
140410	28	company:06929486	2014-01-01	UCAT
140411	28	company:07348231	2014-01-01	Kemnal Academy Trust, The (TKAT)
140412	28	company:08027943	2014-01-02	The Dean Trust
140413	28	company:07465701	2014-01-01	The GORSE Academies Trust
140414	28	company:06182612	2014-01-02	David Ross Education Trust (DRET)
140415	28	company:06995649	2014-01-01	Outwood Grange Academies Trust
140416	28		2014-01-01	The Castle School, Taunton
140417	28	company:08451787	2014-01-01	Diocese of Chester
140418	28	company:07472736	2014-01-01	Community Academies Trust (CAT)
140419	28	company:08422015	2014-01-01	Diocese of Coventry
140420	28	company:08156759	2014-01-09	Diocese of Bristol Academies Trust (DBAT)
140423	28	company:09007740	2015-01-09	Floreat Education
140424	28	company:07535642	2015-01-09	Bohunt School
140425	28	company:08538844	2015-01-09	Diocese of Exeter
140426	28	company:04468267	2015-01-09	The Mossbourne Federation
140427	28	company:09323071	2015-01-09	Carillion Academies Trust
140428	28	company:09323071		Carillion Academies Trust
140429	28	company:08258994	2015-01-09	Bradford Diocesan Academies Trust
140430	28	company:07559256	2015-01-09	Valley Invicta Academies Trust
140431	28	company:07559256	2015-01-09	Valley Invicta Academies Trust
140432	28	company:07559256	2015-01-09	Valley Invicta Academies Trust
140433	28	company:08289583	2015-01-09	Lilac Sky Academy Trust
140434	28	company:07551959	2015-01-09	GLF Schools
140435	28	company:07612865	2015-01-09	STEP Academy Trust
140436	44	company:08711161		
140437	34	company:08775910		
140438	34	company:08728422	2013-01-12	
140439	34			
140440	34			
140441	34			
140442	34	company:07808732	2013-01-12	Carmel College Academy Trust
140443	34	company:08603037		
140444	34		2013-01-12	Aspire Educational Trust
140445	34	company:08597878		
140446	34	company:08833508	2013-01-12	Wickersley Partnership Trust
140447	34	company:08763832	2013-01-12	The FennWood Academy Trust
140448	34	company:08760817		Perry Hall Multi Academy Trust
140449	34	company:08753719	2013-01-12	Farnborough Primary School
140450	34	company:08752701		
140451	34	company:08759430		
140452	34		2013-01-12	
140453	34	company:08781513		
140454	34	company:08156759	2013-01-12	Diocese of Bristol Academies Trust (DBAT)
140455	34	company:08756412		Huish Primary School, Yeovil
140456	34		2013-01-12	Diocese of Bath and Wells Multi Academy Trust
140457	44		2013-01-12	The Adelaide Academy Trust
140458	34	company:08269066	2013-01-12	St John Plessington Catholic College
140459	34	company:08775996	2013-01-12	
140460	34	company:07917752	2013-01-12	St Marys Academy Trust
140461	34	company:08767870	2013-01-12	Wearmouth Learning Trust
140462	34	company:08769758		
140463	34	company:08612065		
140464	34	company:08738224		
140465	34		2013-01-12	
140466	34		2013-01-12	
140467	34		2013-01-12	
140468	34		2013-01-12	
140469	34		2013-01-12	
140470	34	company:08786812	2013-01-12	Chesterton Academies Trust
140471	34	company:08766799		Ebor Academy Trust
140472	34	company:08749379		
140473	34	company:08143249	2013-01-12	Diocese of Oxford
140474	34	company:08143249	2013-01-12	Diocese of Oxford
140475	34	company:08743560	2013-01-12	Loxford School Trust Ltd
140476	34	company:08217604		
