school	address
101695	100022900886
101697	100022900479
101698	100022895469
101699	100022898584
101700	100022897739
101701	100022900358
101702	100023260248
101703	100022914732
101704	100023536360
101709	100022908231
101710	100022908231
101711	100022908463
101712	100022916555
101713	200001187258
101714	100023535826
101715	100023535826
101716	100022916554
101717	200001204586
101718	200001209753
101719	10014056249
101720	200001211067
101721	200001211067
101722	200001209636
101723	200001209636
101724	100023536675
101725	200001209109
101726	200001203980
101727	200001203980
101729	10000104575
101730	200001209676
101731	100022907702
101732	100020637516
101733	100022909992
101736	100023260055
101737	100022908462
101738	100022908462
101739	100023536542
101740	100023535566
101741	100022905004
101742	200001222449
101743	200001222449
101744	10000104733
101745	10000104733
101746	10000104733
101747	10000104737
101749	100023535261
101750	100023535261
101752	68119548
101753	10090381583
101755	200001222499
101756	100020668258
101757	100022917628
101758	100023536533
101759	200001190229
101760	200001205551
101761	200001205413
101762	200001205413
101763	10000104740
101764	10000104740
101765	10090925856
101766	10090925856
101767	100022906544
101768	10090925855
101769	100022917431
101770	200001222984
101771	200001222984
101772	100022908048
101773	100020618227
101774	100022909628
101775	100023535566
101776	100023261982
101777	10014056249
101778	100020640066
101779	100022906544
101780	200001204586
101781	100022911525
101782	100023535162
101783	200001206687
101784	100023534653
101785	100023320076
101786	10014056565
101787	10090925855
101788	200001208168
101789	200001205842
101790	200001212880
101791	200001212880
101792	200001206438
101793	10000104524
101794	200001209062
101795	100023249342
101796	200001205933
101798	200001213743
101799	200001203808
101800	200001203807
101801	200001190229
101802	200001187765
101803	200001203928
101804	100022917735
101805	10014053014
101807	200001209636
101809	100022910696
101810	100023534653
101811	100023535423
101813	200001212880
101815	200001205848
101817	100022911698
101818	200001207170
101819	100022908048
101820	200001206345
101822	100022913770
101823	100022917795
101824	200001203980
101825	100022906556
101827	100020670490
101828	200001211431
101829	100023536545
101830	100020670490
101832	200001222296
101833	200001222296
101834	200001205749
101835	100022917798
101837	10014052100
101838	100020668258
101839	100022917231
101845	200001222767
101846	10014054225
101849	100022917735
101850	100023247059
101851	100022915829
101852	200001203807
101853	10000104477
101855	200001209636
101856	100020648523
101857	38261982
101858	12141074
101859	12162174
101861	12141073
101862	12145499
101864	12141168
101866	12142774
101867	12141079
101868	12141097
101869	12176176
101870	12141147
101872	12141148
101873	12141161
101874	12141168
101875	12141181
101876	12141047
101877	12141144
101878	12141078
101879	12141085
101880	12141003
101881	12141094
101882	12141127
101883	12141127
101884	12141146
101885	12141155
101886	12140979
101887	12141134
101888	12140963
101889	12141138
101890	12131130
101891	12141076
101892	12141078
101893	12141084
101894	12141088
101895	12141091
101896	12141096
101897	12141126
101898	12140975
101899	12141132
101900	12141089
101901	12141136
101902	12141182
101903	12141141
101904	12141142
101905	12141150
101906	12141153
101907	12141173
101908	12141179
101909	12141183
101910	12162174
101911	12141176
101912	12141001
101913	12126486
101914	12141201
101915	12141081
101916	12141178
101917	12141083
101918	12141170
101919	12141142
101920	12141151
101921	12157601
101923	12141158
101924	12141162
101925	12141169
101926	12141171
101927	12141085
101928	12141199
101930	12141190
101931	12141192
101932	12161491
101933	12141198
101934	12141188
101935	12141186
101936	12141185
101937	12141092
101938	12141092
101939	12141082
101940	12141196
101941	12140958
101942	12140962
101943	12141197
101944	12130148
101945	12084915
101946	12129858
101947	12134149
101948	12140502
101949	100023587855
101950	12075679
101952	12109809
101953	12141090
101954	12139261
101955	12083766
101956	12163963
101957	12142733
101958	12095254
101961	12106651
101962	12075729
101963	12085423
101964	12143051
101965	12141200
101966	12141201
101967	12140964
101968	12167372
101969	12140974
101971	12141204
101972	207089468
101974	207141173
101975	207043341
101976	207051771
101977	207054091
101978	207054091
101979	207038510
101980	207038510
101981	207014420
101982	207172596
101983	207172596
101984	207141173
101985	207189849
101986	207189849
101987	207089468
101988	207089468
101989	207180138
101990	207078947
101991	207189635
101992	207185705
101993	207178338
101994	207014589
101995	207043341
101996	207035784
101997	207035784
101998	207016027
101999	207179053
102000	207004307
102001	207004307
102002	207035554
102004	207181348
102005	207154213
102006	207049118
102007	207085455
102008	207084017
102009	207084017
102010	207043341
102011	207190296
102012	207014304
102013	207047766
102014	207182680
102015	207182220
102016	207167500
102017	207030737
102019	207087696
102020	207184017
102021	207177916
102022	207085428
102023	207051771
102024	207126176
102025	207147375
102026	207179734
102027	207188014
102028	207166526
102029	207147730
102030	207083284
102031	207139336
102032	207052068
102033	207142629
102034	207146570
102035	207180712
102036	207182579
102037	207089594
102038	207147740
102039	207036860
102040	207179465
102041	207043017
102042	207172051
102044	207190889
102046	207076723
102047	207038974
102048	207137316
102049	207182933
102050	207153490
102051	207178972
102052	207154213
102054	207125742
102055	207189154
102057	207184253
102059	207178762
102061	207002134
102062	207114314
102063	207165421
102064	207078031
102066	207014817
102067	207058359
102068	207014803
102069	207014812
102070	207037406
102071	10003977127
102072	10003978243
102073	10003981820
102074	10003975984
102076	100021237651
102077	100021237651
102078	100021219791
102079	100021219791
102080	100023144971
102081	100023144971
102082	100021224280
102083	100021224280
102084	100023205269
102085	100023205269
102086	100021182329
102087	100023166141
102088	10003976656
102089	10003976656
102090	100023166811
102091	100021160611
102092	100023194506
102093	100023166144
102094	100023166144
102095	100023177434
102096	100023177434
102097	100023142079
102098	10003975401
102099	100023179094
102100	100023179094
102101	100023204009
102102	100023204009
102103	100023166811
102104	100021230579
102105	100021230579
102106	100023206942
102107	100023206942
102108	100021223491
102109	100021223491
102110	100023184413
102112	100021157655
102113	100021242384
102114	100021242384
102115	200001913871
102116	100021174969
102117	100021174969
102120	100021215710
102121	100021170383
102122	10022942370
102123	10022942370
102124	100023166807
102125	100023163914
