urn	establishment-type	establishment-group-type
111258	Voluntary Controlled School	LA maintained schools
111259	Voluntary Controlled School	LA maintained schools
111260	Voluntary Controlled School	LA maintained schools
111261	Voluntary Controlled School	LA maintained schools
111262	Voluntary Controlled School	LA maintained schools
111263	Voluntary Controlled School	LA maintained schools
111264	Voluntary Controlled School	LA maintained schools
111265	Voluntary Controlled School	LA maintained schools
111266	Voluntary Controlled School	LA maintained schools
111267	Voluntary Controlled School	LA maintained schools
111268	Voluntary Controlled School	LA maintained schools
111269	Voluntary Controlled School	LA maintained schools
111270	Voluntary Controlled School	LA maintained schools
111271	Voluntary Controlled School	LA maintained schools
111272	Voluntary Controlled School	LA maintained schools
111273	Voluntary Controlled School	LA maintained schools
111274	Voluntary Controlled School	LA maintained schools
111275	Voluntary Controlled School	LA maintained schools
111276	Voluntary Controlled School	LA maintained schools
111277	Voluntary Controlled School	LA maintained schools
111278	Voluntary Controlled School	LA maintained schools
111279	Voluntary Controlled School	LA maintained schools
111280	Voluntary Controlled School	LA maintained schools
111281	Voluntary Controlled School	LA maintained schools
111282	Community School	LA maintained schools
111283	Voluntary Controlled School	LA maintained schools
111284	Voluntary Controlled School	LA maintained schools
111285	Voluntary Controlled School	LA maintained schools
111286	Voluntary Controlled School	LA maintained schools
111287	Voluntary Controlled School	LA maintained schools
111288	Voluntary Controlled School	LA maintained schools
111289	Voluntary Controlled School	LA maintained schools
111290	Voluntary Controlled School	LA maintained schools
111291	Voluntary Controlled School	LA maintained schools
111292	Voluntary Controlled School	LA maintained schools
111293	Voluntary Controlled School	LA maintained schools
111294	Voluntary Controlled School	LA maintained schools
111295	Voluntary Aided School	LA maintained schools
111296	Voluntary Aided School	LA maintained schools
111297	Voluntary Aided School	LA maintained schools
111298	Voluntary Aided School	LA maintained schools
111299	Voluntary Aided School	LA maintained schools
111300	Voluntary Aided School	LA maintained schools
111301	Voluntary Aided School	LA maintained schools
111302	Voluntary Aided School	LA maintained schools
111303	Voluntary Aided School	LA maintained schools
111304	Voluntary Aided School	LA maintained schools
111305	Voluntary Aided School	LA maintained schools
111306	Voluntary Aided School	LA maintained schools
111307	Voluntary Aided School	LA maintained schools
111308	Voluntary Aided School	LA maintained schools
111309	Voluntary Aided School	LA maintained schools
111310	Voluntary Aided School	LA maintained schools
111311	Voluntary Aided School	LA maintained schools
111312	Voluntary Aided School	LA maintained schools
111313	Voluntary Aided School	LA maintained schools
111314	Voluntary Aided School	LA maintained schools
111315	Voluntary Aided School	LA maintained schools
111316	Voluntary Aided School	LA maintained schools
111317	Voluntary Aided School	LA maintained schools
111318	Voluntary Aided School	LA maintained schools
111319	Voluntary Aided School	LA maintained schools
111320	Voluntary Aided School	LA maintained schools
111321	Voluntary Aided School	LA maintained schools
111322	Voluntary Aided School	LA maintained schools
111323	Voluntary Aided School	LA maintained schools
111324	Voluntary Aided School	LA maintained schools
111325	Voluntary Aided School	LA maintained schools
111326	Voluntary Aided School	LA maintained schools
111327	Voluntary Aided School	LA maintained schools
111328	Voluntary Aided School	LA maintained schools
111329	Voluntary Aided School	LA maintained schools
111330	Voluntary Aided School	LA maintained schools
111331	Voluntary Aided School	LA maintained schools
111332	Voluntary Aided School	LA maintained schools
111333	Voluntary Aided School	LA maintained schools
111334	Voluntary Aided School	LA maintained schools
111335	Voluntary Aided School	LA maintained schools
111336	Voluntary Aided School	LA maintained schools
111337	Voluntary Aided School	LA maintained schools
111338	Voluntary Aided School	LA maintained schools
111339	Voluntary Aided School	LA maintained schools
111340	Voluntary Aided School	LA maintained schools
111341	Voluntary Aided School	LA maintained schools
111342	Voluntary Aided School	LA maintained schools
111343	Voluntary Aided School	LA maintained schools
111344	Voluntary Aided School	LA maintained schools
111345	Voluntary Aided School	LA maintained schools
111346	Voluntary Aided School	LA maintained schools
111347	Voluntary Aided School	LA maintained schools
111348	Voluntary Aided School	LA maintained schools
111349	Voluntary Aided School	LA maintained schools
111350	Voluntary Aided School	LA maintained schools
111351	Voluntary Aided School	LA maintained schools
111352	Voluntary Aided School	LA maintained schools
111353	Voluntary Aided School	LA maintained schools
111354	Voluntary Aided School	LA maintained schools
111355	Voluntary Aided School	LA maintained schools
111356	Voluntary Aided School	LA maintained schools
111357	Voluntary Aided School	LA maintained schools
111358	Voluntary Aided School	LA maintained schools
111359	Voluntary Aided School	LA maintained schools
111360	Voluntary Aided School	LA maintained schools
111361	Voluntary Aided School	LA maintained schools
111362	Voluntary Aided School	LA maintained schools
111363	Voluntary Aided School	LA maintained schools
111364	Voluntary Aided School	LA maintained schools
111365	Voluntary Aided School	LA maintained schools
111366	Voluntary Aided School	LA maintained schools
111367	Voluntary Aided School	LA maintained schools
111368	Voluntary Aided School	LA maintained schools
111369	Voluntary Aided School	LA maintained schools
111370	Voluntary Aided School	LA maintained schools
111371	Voluntary Aided School	LA maintained schools
111372	Voluntary Aided School	LA maintained schools
111373	Voluntary Aided School	LA maintained schools
111374	Voluntary Aided School	LA maintained schools
111375	Voluntary Aided School	LA maintained schools
111376	Voluntary Aided School	LA maintained schools
111377	Voluntary Aided School	LA maintained schools
111378	Voluntary Aided School	LA maintained schools
111379	Voluntary Aided School	LA maintained schools
111380	Voluntary Aided School	LA maintained schools
111381	Voluntary Aided School	LA maintained schools
111382	Voluntary Aided School	LA maintained schools
111383	Voluntary Aided School	LA maintained schools
111384	Voluntary Aided School	LA maintained schools
111385	Voluntary Aided School	LA maintained schools
111386	Voluntary Aided School	LA maintained schools
111387	Voluntary Aided School	LA maintained schools
111388	Voluntary Aided School	LA maintained schools
111389	Voluntary Aided School	LA maintained schools
111390	Voluntary Aided School	LA maintained schools
111391	Voluntary Aided School	LA maintained schools
111392	Voluntary Aided School	LA maintained schools
111393	Voluntary Aided School	LA maintained schools
111394	Voluntary Controlled School	LA maintained schools
111395	Community School	LA maintained schools
111396	Foundation School	LA maintained schools
111397	Community School	LA maintained schools
111398	Community School	LA maintained schools
111399	Community School	LA maintained schools
111400	Community School	LA maintained schools
111401	Community School	LA maintained schools
111402	Foundation School	LA maintained schools
111403	Community School	LA maintained schools
111404	Foundation School	LA maintained schools
111405	Community School	LA maintained schools
111406	Foundation School	LA maintained schools
111407	Community School	LA maintained schools
111408	Community School	LA maintained schools
111409	Community School	LA maintained schools
111410	Community School	LA maintained schools
111411	Community School	LA maintained schools
111412	Community School	LA maintained schools
111413	Community School	LA maintained schools
111414	Foundation School	LA maintained schools
111415	Community School	LA maintained schools
111416	Foundation School	LA maintained schools
111417	Community School	LA maintained schools
111418	Community School	LA maintained schools
111419	Foundation School	LA maintained schools
111420	Foundation School	LA maintained schools
111421	Foundation School	LA maintained schools
111422	Foundation School	LA maintained schools
111423	Community School	LA maintained schools
111424	Foundation School	LA maintained schools
111425	Community School	LA maintained schools
111426	Community School	LA maintained schools
111427	Community School	LA maintained schools
111428	Foundation School	LA maintained schools
111429	Foundation School	LA maintained schools
111430	Community School	LA maintained schools
111431	Community School	LA maintained schools
111432	Community School	LA maintained schools
111433	Community School	LA maintained schools
111434	Community School	LA maintained schools
111435	Community School	LA maintained schools
111436	Community School	LA maintained schools
111437	Community School	LA maintained schools
111438	Community School	LA maintained schools
111439	Foundation School	LA maintained schools
111440	Community School	LA maintained schools
111441	Community School	LA maintained schools
111442	Foundation School	LA maintained schools
111443	Community School	LA maintained schools
111444	Community School	LA maintained schools
111445	Community School	LA maintained schools
111446	Community School	LA maintained schools
111447	Community School	LA maintained schools
111448	Voluntary Controlled School	LA maintained schools
111449	Voluntary Aided School	LA maintained schools
111450	Voluntary Aided School	LA maintained schools
111451	Voluntary Aided School	LA maintained schools
111452	Voluntary Aided School	LA maintained schools
111453	Voluntary Aided School	LA maintained schools
111454	Voluntary Aided School	LA maintained schools
111455	Voluntary Aided School	LA maintained schools
111456	Voluntary Aided School	LA maintained schools
111457	Voluntary Aided School	LA maintained schools
111458	Voluntary Aided School	LA maintained schools
111459	Voluntary Aided School	LA maintained schools
111460	Foundation School	LA maintained schools
111461	Voluntary Aided School	LA maintained schools
111462	Voluntary Aided School	LA maintained schools
111463	Community School	LA maintained schools
111464	Foundation School	LA maintained schools
111465	Foundation School	LA maintained schools
111466	Other Independent School	Independent schools
111467	Other Independent School	Independent schools
111468	Other Independent School	Independent schools
111469	Other Independent School	Independent schools
111470	Other Independent School	Independent schools
111471	Other Independent School	Independent schools
111472	Other Independent School	Independent schools
111473	Other Independent School	Independent schools
111474	Other Independent School	Independent schools
111475	Other Independent School	Independent schools
111476	Other Independent School	Independent schools
111477	Other Independent School	Independent schools
111478	Other Independent School	Independent schools
111479	Other Independent School	Independent schools
111480	Other Independent School	Independent schools
111481	Other Independent School	Independent schools
111482	Other Independent School	Independent schools
111483	Other Independent School	Independent schools
111484	Other Independent School	Independent schools
111485	Other Independent School	Independent schools
111486	Other Independent School	Independent schools
111487	Other Independent School	Independent schools
111488	Other Independent School	Independent schools
111489	Other Independent School	Independent schools
111490	Other Independent School	Independent schools
111491	Other Independent Special School	Special schools
111493	Other Independent School	Independent schools
111494	Community Special School	Special schools
111495	Community Special School	Special schools
111496	Community Special School	Special schools
111497	Community Special School	Special schools
111498	Non-Maintained Special School	Special schools
111499	Non-Maintained Special School	Special schools
111500	Non-Maintained Special School	Special schools
111501	Community Special School	Special schools
111502	Community Special School	Special schools
111503	Community Special School	Special schools
111504	Community Special School	Special schools
111505	Community Special School	Special schools
111506	Community Special School	Special schools
111507	Community Special School	Special schools
111508	Community Special School	Special schools
111509	Community Special School	Special schools
111510	Community Special School	Special schools
111511	Community Special School	Special schools
111512	Community Special School	Special schools
111513	Community Special School	Special schools
111514	Community Special School	Special schools
111515	Community Special School	Special schools
111516	Community Special School	Special schools
111517	Community Special School	Special schools
111518	LA Nursery School	LA maintained schools
111519	LA Nursery School	LA maintained schools
111520	Pupil Referral Unit	LA maintained schools
111521	Pupil Referral Unit	LA maintained schools
111522	Community School	LA maintained schools
111523	Community School	LA maintained schools
111524	Community School	LA maintained schools
111525	Community School	LA maintained schools
111526	Community School	LA maintained schools
111527	Community School	LA maintained schools
111528	Community School	LA maintained schools
111529	Community School	LA maintained schools
111530	Community School	LA maintained schools
111531	Foundation School	LA maintained schools
111532	Community School	LA maintained schools
111533	Foundation School	LA maintained schools
111534	Community School	LA maintained schools
111535	Community School	LA maintained schools
111536	Community School	LA maintained schools
111537	Community School	LA maintained schools
111538	Community School	LA maintained schools
111539	Community School	LA maintained schools
111540	Community School	LA maintained schools
111541	Community School	LA maintained schools
111542	Community School	LA maintained schools
111543	Community School	LA maintained schools
111544	Community School	LA maintained schools
111545	Community School	LA maintained schools
111546	Community School	LA maintained schools
111547	Community School	LA maintained schools
111548	Community School	LA maintained schools
111549	Community School	LA maintained schools
111550	Community School	LA maintained schools
111551	Community School	LA maintained schools
111552	Community School	LA maintained schools
111553	Community School	LA maintained schools
111554	Community School	LA maintained schools
111555	Community School	LA maintained schools
111556	Community School	LA maintained schools
111557	Community School	LA maintained schools
111558	Community School	LA maintained schools
111559	Community School	LA maintained schools
111560	Community School	LA maintained schools
111561	Community School	LA maintained schools
111562	Community School	LA maintained schools
111563	Community School	LA maintained schools
111564	Community School	LA maintained schools
111565	Community School	LA maintained schools
111566	Community School	LA maintained schools
111567	Foundation School	LA maintained schools
111568	Community School	LA maintained schools
111569	Community School	LA maintained schools
111570	Community School	LA maintained schools
111571	Community School	LA maintained schools
111572	Community School	LA maintained schools
111573	Community School	LA maintained schools
111574	Community School	LA maintained schools
111575	Community School	LA maintained schools
111576	Community School	LA maintained schools
111577	Community School	LA maintained schools
111578	Community School	LA maintained schools
111579	Community School	LA maintained schools
111580	Foundation School	LA maintained schools
111581	Community School	LA maintained schools
111582	Community School	LA maintained schools
111583	Community School	LA maintained schools
111584	Community School	LA maintained schools
111585	Community School	LA maintained schools
111586	Foundation School	LA maintained schools
111587	Foundation School	LA maintained schools
111588	Community School	LA maintained schools
111589	Community School	LA maintained schools
111590	Community School	LA maintained schools
111591	Community School	LA maintained schools
111592	Community School	LA maintained schools
111593	Community School	LA maintained schools
111594	Community School	LA maintained schools
111595	Community School	LA maintained schools
111596	Community School	LA maintained schools
111597	Community School	LA maintained schools
111598	Community School	LA maintained schools
111599	Community School	LA maintained schools
111600	Community School	LA maintained schools
111601	Community School	LA maintained schools
111602	Foundation School	LA maintained schools
111603	Community School	LA maintained schools
111604	Foundation School	LA maintained schools
111605	Community School	LA maintained schools
111606	Community School	LA maintained schools
111607	Community School	LA maintained schools
111608	Community School	LA maintained schools
111609	Community School	LA maintained schools
111610	Community School	LA maintained schools
111611	Foundation School	LA maintained schools
111612	Community School	LA maintained schools
111613	Community School	LA maintained schools
111614	Community School	LA maintained schools
111615	Community School	LA maintained schools
111616	Community School	LA maintained schools
111617	Community School	LA maintained schools
111618	Community School	LA maintained schools
111619	Community School	LA maintained schools
111620	Foundation School	LA maintained schools
111621	Community School	LA maintained schools
111622	Community School	LA maintained schools
111623	Community School	LA maintained schools
111624	Community School	LA maintained schools
111625	Foundation School	LA maintained schools
111626	Foundation School	LA maintained schools
111627	Community School	LA maintained schools
111628	Community School	LA maintained schools
111629	Community School	LA maintained schools
111630	Foundation School	LA maintained schools
111631	Community School	LA maintained schools
111632	Community School	LA maintained schools
111633	Foundation School	LA maintained schools
111634	Community School	LA maintained schools
111635	Foundation School	LA maintained schools
111636	Community School	LA maintained schools
111637	Community School	LA maintained schools
111638	Community School	LA maintained schools
111639	Community School	LA maintained schools
111640	Community School	LA maintained schools
111641	Community School	LA maintained schools
111642	Community School	LA maintained schools
111643	Community School	LA maintained schools
111644	Community School	LA maintained schools
111645	Community School	LA maintained schools
111646	Community School	LA maintained schools
111647	Foundation School	LA maintained schools
111648	Community School	LA maintained schools
111649	Community School	LA maintained schools
111650	Community School	LA maintained schools
111651	Community School	LA maintained schools
111652	Community School	LA maintained schools
111653	Community School	LA maintained schools
111654	Foundation School	LA maintained schools
111655	Community School	LA maintained schools
111656	Community School	LA maintained schools
111657	Community School	LA maintained schools
111658	Community School	LA maintained schools
111659	Community School	LA maintained schools
111660	Community School	LA maintained schools
111661	Community School	LA maintained schools
111662	Foundation School	LA maintained schools
111663	Foundation School	LA maintained schools
111664	Community School	LA maintained schools
111665	Community School	LA maintained schools
111666	Community School	LA maintained schools
111667	Voluntary Controlled School	LA maintained schools
111668	Voluntary Controlled School	LA maintained schools
111669	Voluntary Controlled School	LA maintained schools
111670	Voluntary Aided School	LA maintained schools
111671	Voluntary Controlled School	LA maintained schools
111672	Voluntary Controlled School	LA maintained schools
111673	Voluntary Controlled School	LA maintained schools
111674	Voluntary Controlled School	LA maintained schools
111675	Voluntary Aided School	LA maintained schools
111676	Voluntary Aided School	LA maintained schools
111677	Voluntary Aided School	LA maintained schools
111678	Voluntary Aided School	LA maintained schools
111679	Voluntary Aided School	LA maintained schools
111680	Voluntary Aided School	LA maintained schools
111681	Voluntary Aided School	LA maintained schools
111682	Voluntary Aided School	LA maintained schools
111683	Voluntary Aided School	LA maintained schools
111684	Voluntary Aided School	LA maintained schools
111685	Voluntary Aided School	LA maintained schools
111686	Voluntary Aided School	LA maintained schools
111687	Voluntary Aided School	LA maintained schools
111688	Voluntary Aided School	LA maintained schools
111689	Voluntary Aided School	LA maintained schools
111690	Voluntary Aided School	LA maintained schools
111691	Voluntary Aided School	LA maintained schools
111692	Voluntary Aided School	LA maintained schools
111693	Voluntary Aided School	LA maintained schools
111694	Voluntary Aided School	LA maintained schools
111695	Voluntary Aided School	LA maintained schools
111696	Voluntary Aided School	LA maintained schools
111697	Voluntary Aided School	LA maintained schools
111698	Voluntary Aided School	LA maintained schools
111699	Voluntary Aided School	LA maintained schools
111700	Voluntary Aided School	LA maintained schools
111701	Voluntary Aided School	LA maintained schools
111702	Voluntary Aided School	LA maintained schools
111703	Voluntary Aided School	LA maintained schools
111704	Voluntary Aided School	LA maintained schools
111705	Voluntary Aided School	LA maintained schools
111706	Voluntary Aided School	LA maintained schools
111707	Voluntary Aided School	LA maintained schools
111708	Voluntary Aided School	LA maintained schools
111709	Voluntary Aided School	LA maintained schools
111710	Voluntary Aided School	LA maintained schools
111711	Voluntary Aided School	LA maintained schools
111712	Voluntary Aided School	LA maintained schools
111713	Voluntary Aided School	LA maintained schools
111714	Voluntary Aided School	LA maintained schools
111715	Voluntary Aided School	LA maintained schools
111716	Voluntary Aided School	LA maintained schools
111717	Voluntary Aided School	LA maintained schools
111718	Voluntary Aided School	LA maintained schools
111719	Voluntary Aided School	LA maintained schools
111720	Voluntary Aided School	LA maintained schools
111721	Voluntary Aided School	LA maintained schools
111722	Foundation School	LA maintained schools
111723	Foundation School	LA maintained schools
111724	Foundation School	LA maintained schools
111725	Community School	LA maintained schools
111726	Foundation School	LA maintained schools
111727	Community School	LA maintained schools
111728	Community School	LA maintained schools
111729	Foundation School	LA maintained schools
111730	Community School	LA maintained schools
111731	Community School	LA maintained schools
111732	Community School	LA maintained schools
111733	Community School	LA maintained schools
111734	Community School	LA maintained schools
111735	Community School	LA maintained schools
111736	Community School	LA maintained schools
111737	Community School	LA maintained schools
111738	Community School	LA maintained schools
111739	Community School	LA maintained schools
111740	Foundation School	LA maintained schools
111741	Community School	LA maintained schools
111742	Foundation School	LA maintained schools
111743	Community School	LA maintained schools
111744	Community School	LA maintained schools
111745	Community School	LA maintained schools
111746	Foundation School	LA maintained schools
111747	Community School	LA maintained schools
111748	Foundation School	LA maintained schools
111749	Foundation School	LA maintained schools
111750	Community School	LA maintained schools
111751	Community School	LA maintained schools
111752	Community School	LA maintained schools
111753	Community School	LA maintained schools
111754	Community School	LA maintained schools
111755	Foundation School	LA maintained schools
111756	Voluntary Aided School	LA maintained schools
111757	Voluntary Aided School	LA maintained schools
111758	Voluntary Aided School	LA maintained schools
111759	Voluntary Aided School	LA maintained schools
111760	Voluntary Aided School	LA maintained schools
111761	Voluntary Aided School	LA maintained schools
111762	Voluntary Aided School	LA maintained schools
111763	Voluntary Aided School	LA maintained schools
111764	Voluntary Aided School	LA maintained schools
111765	Voluntary Aided School	LA maintained schools
111766	Other Independent School	Independent schools
111767	Other Independent School	Independent schools
111768	Other Independent School	Independent schools
111769	Other Independent School	Independent schools
111770	Other Independent School	Independent schools
111771	Other Independent School	Independent schools
111772	City Technology College	Independent schools
111773	Community Special School	Special schools
111774	Community Special School	Special schools
111775	Community Special School	Special schools
111776	Community Special School	Special schools
111777	Community Special School	Special schools
111778	Community Special School	Special schools
111779	Community Special School	Special schools
111780	Community Special School	Special schools
111781	Community Special School	Special schools
111782	Community Special School	Special schools
111783	Community Special School	Special schools
111784	Community Special School	Special schools
111785	Community Special School	Special schools
111786	Community Special School	Special schools
111787	Community Special School	Special schools
111788	Community Special School	Special schools
111789	LA Nursery School	LA maintained schools
111790	LA Nursery School	LA maintained schools
111791	Foundation School	LA maintained schools
111792	Foundation School	LA maintained schools
111793	Foundation School	LA maintained schools
111794	Foundation School	LA maintained schools
111795	Community School	LA maintained schools
111796	Foundation School	LA maintained schools
111797	Community School	LA maintained schools
111798	Foundation School	LA maintained schools
111799	Community School	LA maintained schools
111800	Community School	LA maintained schools
111801	Foundation School	LA maintained schools
111802	Community School	LA maintained schools
111803	Foundation School	LA maintained schools
111804	Community School	LA maintained schools
111805	Community School	LA maintained schools
111806	Foundation School	LA maintained schools
111807	Community School	LA maintained schools
111808	Community School	LA maintained schools
111809	Foundation School	LA maintained schools
111810	Foundation School	LA maintained schools
111811	Foundation School	LA maintained schools
111812	Community School	LA maintained schools
111813	Foundation School	LA maintained schools
111814	Foundation School	LA maintained schools
111815	Community School	LA maintained schools
111816	Foundation School	LA maintained schools
111817	Foundation School	LA maintained schools
111818	Community School	LA maintained schools
111819	Community School	LA maintained schools
111820	Community School	LA maintained schools
111821	Community School	LA maintained schools
111822	Community School	LA maintained schools
111823	Community School	LA maintained schools
111824	Foundation School	LA maintained schools
111825	Foundation School	LA maintained schools
111826	Foundation School	LA maintained schools
111827	Community School	LA maintained schools
111828	Foundation School	LA maintained schools
111829	Community School	LA maintained schools
111830	Community School	LA maintained schools
111831	Foundation School	LA maintained schools
111832	Community School	LA maintained schools
111833	Community School	LA maintained schools
111834	Community School	LA maintained schools
111835	Community School	LA maintained schools
111836	Community School	LA maintained schools
111837	Foundation School	LA maintained schools
111838	Community School	LA maintained schools
111839	Foundation School	LA maintained schools
111840	Foundation School	LA maintained schools
111841	Foundation School	LA maintained schools
111842	Community School	LA maintained schools
111843	Community School	LA maintained schools
111844	Community School	LA maintained schools
111845	Community School	LA maintained schools
111846	Foundation School	LA maintained schools
111847	Foundation School	LA maintained schools
111848	Community School	LA maintained schools
111849	Community School	LA maintained schools
111850	Community School	LA maintained schools
111851	Community School	LA maintained schools
111852	Foundation School	LA maintained schools
111853	Foundation School	LA maintained schools
111854	Community School	LA maintained schools
111855	Community School	LA maintained schools
111856	Foundation School	LA maintained schools
111857	Foundation School	LA maintained schools
111858	Foundation School	LA maintained schools
111859	Community School	LA maintained schools
111860	Community School	LA maintained schools
111861	Community School	LA maintained schools
111862	Community School	LA maintained schools
111863	Community School	LA maintained schools
111864	Community School	LA maintained schools
111865	Community School	LA maintained schools
111866	Community School	LA maintained schools
111867	Community School	LA maintained schools
111868	Community School	LA maintained schools
111869	Community School	LA maintained schools
111870	Community School	LA maintained schools
111871	Community School	LA maintained schools
111872	Community School	LA maintained schools
111873	Community School	LA maintained schools
111874	Community School	LA maintained schools
111875	Community School	LA maintained schools
111876	Community School	LA maintained schools
111877	Community School	LA maintained schools
111878	Community School	LA maintained schools
111879	Community School	LA maintained schools
111880	Community School	LA maintained schools
111881	Community School	LA maintained schools
111882	Community School	LA maintained schools
111883	Community School	LA maintained schools
111884	Community School	LA maintained schools
111885	Community School	LA maintained schools
111886	Community School	LA maintained schools
111887	Foundation School	LA maintained schools
111888	Community School	LA maintained schools
111889	Community School	LA maintained schools
111890	Community School	LA maintained schools
111891	Community School	LA maintained schools
111892	Community School	LA maintained schools
111893	Community School	LA maintained schools
111894	Community School	LA maintained schools
111895	Community School	LA maintained schools
111896	Community School	LA maintained schools
111897	Foundation School	LA maintained schools
111898	Foundation School	LA maintained schools
111899	Foundation School	LA maintained schools
111900	Community School	LA maintained schools
111901	Foundation School	LA maintained schools
111902	Community School	LA maintained schools
111903	Community School	LA maintained schools
111904	Community School	LA maintained schools
111905	Community School	LA maintained schools
111906	Community School	LA maintained schools
111907	Community School	LA maintained schools
111908	Community School	LA maintained schools
111909	Community School	LA maintained schools
111910	Foundation School	LA maintained schools
111911	Community School	LA maintained schools
111912	Foundation School	LA maintained schools
111913	Community School	LA maintained schools
111914	Foundation School	LA maintained schools
111915	Community School	LA maintained schools
111916	Community School	LA maintained schools
111917	Community School	LA maintained schools
111918	Community School	LA maintained schools
111919	Community School	LA maintained schools
111920	Community School	LA maintained schools
111921	Community School	LA maintained schools
111922	Foundation School	LA maintained schools
111923	Community School	LA maintained schools
111924	Foundation School	LA maintained schools
111925	Foundation School	LA maintained schools
111926	Community School	LA maintained schools
111927	Foundation School	LA maintained schools
111928	Foundation School	LA maintained schools
111929	Foundation School	LA maintained schools
111930	Community School	LA maintained schools
111931	Foundation School	LA maintained schools
111932	Community School	LA maintained schools
111933	Foundation School	LA maintained schools
111934	Foundation School	LA maintained schools
111935	Foundation School	LA maintained schools
111936	Foundation School	LA maintained schools
111937	Foundation School	LA maintained schools
111938	Foundation School	LA maintained schools
111939	Foundation School	LA maintained schools
111940	Community School	LA maintained schools
111941	Community School	LA maintained schools
111942	Community School	LA maintained schools
111943	Community School	LA maintained schools
111944	Community School	LA maintained schools
111945	Community School	LA maintained schools
111946	Foundation School	LA maintained schools
111947	Foundation School	LA maintained schools
111948	Foundation School	LA maintained schools
111949	Community School	LA maintained schools
111950	Community School	LA maintained schools
111951	Community School	LA maintained schools
111952	Foundation School	LA maintained schools
111953	Community School	LA maintained schools
111954	Community School	LA maintained schools
111955	Community School	LA maintained schools
111956	Foundation School	LA maintained schools
111957	Foundation School	LA maintained schools
111958	Foundation School	LA maintained schools
111959	Community School	LA maintained schools
111960	Community School	LA maintained schools
111961	Community School	LA maintained schools
111962	Foundation School	LA maintained schools
111963	Community School	LA maintained schools
111964	Community School	LA maintained schools
111965	Community School	LA maintained schools
111966	Community School	LA maintained schools
111967	Community School	LA maintained schools
111968	Community School	LA maintained schools
111969	Community School	LA maintained schools
111970	Community School	LA maintained schools
111971	Community School	LA maintained schools
111972	Community School	LA maintained schools
111973	Foundation School	LA maintained schools
111974	Community School	LA maintained schools
111975	Foundation School	LA maintained schools
111976	Community School	LA maintained schools
111977	Community School	LA maintained schools
111978	Community School	LA maintained schools
111979	Community School	LA maintained schools
111980	Community School	LA maintained schools
111981	Community School	LA maintained schools
111982	Community School	LA maintained schools
111983	Community School	LA maintained schools
111984	Community School	LA maintained schools
111985	Foundation School	LA maintained schools
111986	Community School	LA maintained schools
111987	Foundation School	LA maintained schools
111988	Voluntary Controlled School	LA maintained schools
111989	Voluntary Controlled School	LA maintained schools
111990	Voluntary Controlled School	LA maintained schools
111991	Voluntary Controlled School	LA maintained schools
111992	Voluntary Aided School	LA maintained schools
111993	Voluntary Controlled School	LA maintained schools
111994	Voluntary Controlled School	LA maintained schools
111995	Voluntary Controlled School	LA maintained schools
111996	Voluntary Aided School	LA maintained schools
111997	Voluntary Aided School	LA maintained schools
111998	Voluntary Aided School	LA maintained schools
111999	Voluntary Aided School	LA maintained schools
112000	Voluntary Aided School	LA maintained schools
112001	Voluntary Aided School	LA maintained schools
112002	Voluntary Aided School	LA maintained schools
112003	Voluntary Aided School	LA maintained schools
112004	Voluntary Aided School	LA maintained schools
112005	Voluntary Aided School	LA maintained schools
112006	Voluntary Aided School	LA maintained schools
112007	Voluntary Aided School	LA maintained schools
112008	Voluntary Aided School	LA maintained schools
112009	Voluntary Aided School	LA maintained schools
112010	Voluntary Aided School	LA maintained schools
112011	Voluntary Aided School	LA maintained schools
112012	Voluntary Aided School	LA maintained schools
112013	Voluntary Aided School	LA maintained schools
112014	Voluntary Aided School	LA maintained schools
112015	Voluntary Aided School	LA maintained schools
112016	Voluntary Aided School	LA maintained schools
112017	Voluntary Aided School	LA maintained schools
112018	Voluntary Aided School	LA maintained schools
112019	Voluntary Aided School	LA maintained schools
112020	Voluntary Aided School	LA maintained schools
112021	Voluntary Aided School	LA maintained schools
112022	Voluntary Aided School	LA maintained schools
112023	Voluntary Aided School	LA maintained schools
112024	Voluntary Aided School	LA maintained schools
112025	Voluntary Aided School	LA maintained schools
112026	Voluntary Aided School	LA maintained schools
112027	Voluntary Aided School	LA maintained schools
112028	Voluntary Aided School	LA maintained schools
112029	Voluntary Aided School	LA maintained schools
112030	Voluntary Aided School	LA maintained schools
112031	Voluntary Aided School	LA maintained schools
112032	Voluntary Aided School	LA maintained schools
112033	Voluntary Aided School	LA maintained schools
112034	Voluntary Aided School	LA maintained schools
112035	Voluntary Aided School	LA maintained schools
112036	Voluntary Aided School	LA maintained schools
112037	Community School	LA maintained schools
112038	Community School	LA maintained schools
112039	Foundation School	LA maintained schools
112040	Community School	LA maintained schools
112041	Foundation School	LA maintained schools
112042	Community School	LA maintained schools
112043	Foundation School	LA maintained schools
112044	Community School	LA maintained schools
112045	Foundation School	LA maintained schools
112046	Foundation School	LA maintained schools
112047	Community School	LA maintained schools
112048	Community School	LA maintained schools
112049	Foundation School	LA maintained schools
112050	Foundation School	LA maintained schools
112051	Community School	LA maintained schools
112052	Foundation School	LA maintained schools
112053	Community School	LA maintained schools
112054	Foundation School	LA maintained schools
112055	Community School	LA maintained schools
112056	Foundation School	LA maintained schools
112057	Community School	LA maintained schools
112058	Foundation School	LA maintained schools
112059	Foundation School	LA maintained schools
112060	Foundation School	LA maintained schools
112061	Foundation School	LA maintained schools
