urn	establishment-type	establishment-group-type
116996	Voluntary Aided School	LA maintained schools
116997	Voluntary Aided School	LA maintained schools
116998	Voluntary Aided School	LA maintained schools
116999	Voluntary Aided School	LA maintained schools
117000	Foundation School	LA maintained schools
117001	Foundation School	LA maintained schools
117002	Other Independent School	Independent schools
117003	Other Independent School	Independent schools
117004	Other Independent School	Independent schools
117005	Other Independent School	Independent schools
117006	Other Independent School	Independent schools
117007	Other Independent School	Independent schools
117008	Other Independent School	Independent schools
117009	Other Independent School	Independent schools
117010	Other Independent School	Independent schools
117011	Other Independent School	Independent schools
117012	Other Independent School	Independent schools
117013	Other Independent School	Independent schools
117014	Other Independent School	Independent schools
117015	Other Independent School	Independent schools
117016	Other Independent School	Independent schools
117017	Other Independent School	Independent schools
117018	Other Independent School	Independent schools
117019	Other Independent School	Independent schools
117020	Other Independent School	Independent schools
117021	Other Independent School	Independent schools
117022	Other Independent School	Independent schools
117023	Other Independent School	Independent schools
117024	Other Independent School	Independent schools
117025	Other Independent School	Independent schools
117026	Other Independent School	Independent schools
117027	Other Independent School	Independent schools
117028	Other Independent School	Independent schools
117029	Other Independent School	Independent schools
117030	Other Independent Special School	Special schools
117031	Other Independent School	Independent schools
117032	Other Independent School	Independent schools
117033	Other Independent Special School	Special schools
117034	Other Independent School	Independent schools
117035	Other Independent School	Independent schools
117036	Other Independent School	Independent schools
117037	Other Independent School	Independent schools
117038	Other Independent School	Independent schools
117039	Other Independent School	Independent schools
117040	Other Independent School	Independent schools
117041	Other Independent School	Independent schools
117042	Other Independent Special School	Special schools
117043	Other Independent School	Independent schools
117044	Other Independent School	Independent schools
117045	Other Independent School	Independent schools
117046	Other Independent School	Independent schools
117047	Other Independent School	Independent schools
117048	Other Independent Special School	Special schools
117049	Community Special School	Special schools
117050	Community Special School	Special schools
117051	Foundation Special School	Special schools
117052	Community Special School	Special schools
117053	Community Special School	Special schools
117054	Community Special School	Special schools
117055	Community Special School	Special schools
117056	Community Special School	Special schools
117057	Community Special School	Special schools
117058	Community Special School	Special schools
