Group UID,Group ID,Group Name,Companies House Number,Group Type (code),Group Type
3188,TR00227,Gloucestershire Learning Alliance,07690119,06,Multi-academy trust
3190,TR00860,GLF Schools,07551959,06,Multi-academy trust
3200,TR00872,Goldsworth Trust,07887259,06,Multi-academy trust
3201,TR00873,"Good Shepherd Trust, The",08366199,06,Multi-academy trust
3206,TR00878,"GORSE Academies Trust, The",07465701,06,Multi-academy trust
3209,TR00881,"Gosforth Federated Academies Limited, The",07431423,06,Multi-academy trust
3211,TR00883,Grace Academy,04967658,06,Multi-academy trust
3216,TR02974,"Grange Trust, The",09150608,06,Multi-academy trust
3218,TR00888,Grasvenor Avenue Infant School,08164849,06,Multi-academy trust
3219,TR00889,Graveney Primary School,07847021,06,Multi-academy trust
3220,TR00890,Graveney Trust,07687897,06,Multi-academy trust
3222,TR00891,Gravesend Grammar School Academies Trust,07685923,06,Multi-academy trust
3225,TR00893,Great Academies Education Trust,06237630,06,Multi-academy trust
3235,TR02614,Great Missenden Trust,08927321,06,Multi-academy trust
3240,TR00905,"Green School Trust, The",08608665,06,Multi-academy trust
3243,TR00907,"Greenacre Academy Trust, The",07965316,06,Multi-academy trust
3245,TR00909,Greenfield & Pulloxhill Academy,07719857,06,Multi-academy trust
3252,TR00914,Greenwood Academies Trust,06864339,06,Multi-academy trust
3257,TR02877,Grenestede Academy Trust,09081030,06,Multi-academy trust
3262,TR00921,"Griffin Schools Trust, The",07893665,06,Multi-academy trust
3265,TR00924,Grove Park Academies,08059055,06,Multi-academy trust
3266,TR02688,Grove Wood Academy Trust,09068218,06,Multi-academy trust
3268,TR00962,Growth In Learning Trust,08107672,06,Multi-academy trust
3272,TR00927,Guildford Education Partnership,07649091,06,Multi-academy trust
3273,TR00928,Guilsborough Multi Academy Trust,07535683,06,Multi-academy trust
3275,TR00930,Guru Nanak Sikh Academy Limited,07416734,06,Multi-academy trust
3277,TR00932,Haberdashers' Adams' Federation Trust,06548296,06,Multi-academy trust
3279,TR00933,Haberdashers' Aske's Federation Trust,02535091,06,Multi-academy trust
3288,TR00942,Halewood Academy Centre for Learning,07909397,06,Multi-academy trust
3294,TR00948,"Hallam Schools' Partnership Academy Trust, The",08665067,06,Multi-academy trust
3295,TR00949,Haltwhistle Community Campus,08624157,06,Multi-academy trust
3299,TR02878,Hampton Academies Trust,09129775,06,Multi-academy trust
3303,TR00956,Hamstead Hall Academy Trust,08528845,06,Multi-academy trust
3313,TR00965,"Harlington and Sundon Academy Trust, The",08231721,06,Multi-academy trust
3316,TR02268,"Harmony Trust Limited, The",08840373,06,Multi-academy trust
3320,TR00968,Harris Federation,06228587,06,Multi-academy trust
3326,TR00974,"Harrowby/National Academies Trust, The",08105941,06,Multi-academy trust
3329,TR00976,Hartlepool Aspire Trust,08604037,06,Multi-academy trust
3333,TR00980,"Harvey Academy, The",08142275,06,Multi-academy trust
3339,TR00985,Hastings Academies Trust,07185046,06,Multi-academy trust
3345,TR00990,Hatton Academies Trust,07949111,06,Multi-academy trust
3362,TR01006,"HBH Academy Trust, The",08028402,06,Multi-academy trust
3363,TR01007,HCUK Trust,07778117,06,Multi-academy trust
3364,TR01008,Healing Multi Academy Trust,07345756,06,Multi-academy trust
3368,TR01012,Heartlands Community Trust,08482398,06,Multi-academy trust
3370,TR01013,HEARTS Academy Trust,07851097,06,Multi-academy trust
3371,TR01014,Heartwood Church of England Academy Trust,08627834,06,Multi-academy trust
3372,TR01015,"Heath Family (North West), The",07614421,06,Multi-academy trust
3375,TR01017,Heathfield Academy Trust,08027885,06,Multi-academy trust
3377,TR02680,Heathland Whitefriars Federation,09066965,06,Multi-academy trust
3395,TR02971,Hereford Integrated Behaviour Outreach Service,09136556,06,Multi-academy trust
3396,TR01035,"Herefordshire Marches Federation of Academies, The",07578861,06,Multi-academy trust
3398,TR02615,"Hermitage Trust, The",08872698,06,Multi-academy trust
3403,TR01041,"Hessle Academy Community Trust, The",07665828,06,Multi-academy trust
3410,TR01048,Highcliffe School,07631213,06,Multi-academy trust
3431,TR01069,Brigantia Learning Trust Limited,08506178,06,Multi-academy trust
3432,TR01070,Hinkler Academies Trust,08479066,06,Multi-academy trust
3457,TR01092,Holy Family Catholic Academy Trust,08155184,06,Multi-academy trust
3458,TR01093,Holy Family Catholic Multi Academy Trust,08269066,06,Multi-academy trust
3460,TR01095,"Holy Family of Nazareth Catholic Academy Trust, The",08307881,06,Multi-academy trust
3464,TR02702,Holy Trinity Church Of England Academy (South Shields) Trust,09098446,06,Multi-academy trust
3477,TR01108,Honywood Community Science School,07592309,06,Multi-academy trust
3483,TR01114,Horizons Specialist Academy Trust,08608287,06,Multi-academy trust
3485,TR01115,Hornbeam Academy Trust,08153765,06,Multi-academy trust
3493,TR01121,"Howard Partnership Trust, The",07597068,06,Multi-academy trust
3496,TR00996,"Spring Partnership Trust, The",07656245,06,Multi-academy trust
3498,TR01123,HTI Multi Academy Trust,08291981,06,Multi-academy trust
3502,TR01126,Hull Collaborative Academy Trust,08542806,06,Multi-academy trust
3507,TR01129,Hummersknott Academy Trust,07664322,06,Multi-academy trust
3511,TR01133,The Education Alliance,07542211,06,Multi-academy trust
3527,TR02684,Innovate Multi Academy Trust,09071405,06,Multi-academy trust
3528,TR01148,Wade Deacon Trust,08278808,06,Multi-academy trust
3531,TR01149,Inspiration Trust,08179349,06,Multi-academy trust
3532,TR01150,Inspire Academy Trust,07781921,06,Multi-academy trust
3533,TR02981,"Inspire Learning Federation, The",09202445,06,Multi-academy trust
3534,TR01151,Inspire Multi Academy Trust,08287012,06,Multi-academy trust
3535,TR02868,Interserve Academies Trust Limited,09042916,06,Multi-academy trust
3538,TR02666,Ironstone Academy Trust,09040348,06,Multi-academy trust
3539,TR01154,Infinity Academies Trust Ltd,08358124,06,Multi-academy trust
3540,TR01155,"Iffley Academy Trust Company, The",08334718,06,Multi-academy trust
3543,TR01949,Isle Education Trust,07814150,06,Multi-academy trust
3547,TR01159,Ivybridge Academy Trust,07398467,06,Multi-academy trust
3552,TR01161,Jefferys Education Trust,07690473,06,Multi-academy trust
3566,TR01174,John Paul II Multi-academy,08706247,06,Multi-academy trust
3586,TR01192,"Kemnal Academies Trust, The",07348231,06,Multi-academy trust
3590,TR01194,Kennet School Academies Trust,07543874,06,Multi-academy trust
3594,TR01197,Kent Catholic Schools' Partnership,08176019,06,Multi-academy trust
3598,TR01198,Kenton Schools Academy Trust,07964133,06,Multi-academy trust
3603,TR01202,KESKOWETHYANS Multi Academy Trust,08872161,06,Multi-academy trust
3614,TR02619,King Alfred Trust,08853971,06,Multi-academy trust
3628,TR01451,King Ina Church of England Academy,08120037,06,Multi-academy trust
3643,TR01237,Academies South West,07451553,06,Multi-academy trust
3651,TR01245,Kingstone Academy Trust,07681857,06,Multi-academy trust
3652,TR01246,Kingsway Community Trust,08339302,06,Multi-academy trust
3667,TR01260,Knutsford Multi Academy Trust,07984413,06,Multi-academy trust
3668,TR01261,Koinonia Academies Trust,08563153,06,Multi-academy trust
3670,TR01262,L.E.A.D. Multi-Academy Trust,08296921,06,Multi-academy trust
3677,TR01268,The Laidlaw Schools Trust,05735093,06,Multi-academy trust
3684,TR01273,Landau Forte Charitable Trust,02387916,06,Multi-academy trust
3688,TR01276,The Langley Academy Trust,05358533,06,Multi-academy trust
3694,TR01282,"Langtree School Academy Trust Company, The",07980335,06,Multi-academy trust
3698,TR01286,AN Daras Multi Academy Trust,08156955,06,Multi-academy trust
3700,TR01287,Scholars Academy Trust,08515149,06,Multi-academy trust
